vehicle     methods     min_compression     mean_compression     max_compression     low_one_byte_ratio     encoding_time(us)     decoding_time(us)     error_ratio(%)     memory(KB)     
7           TBDR-006    0                   30.71                56                  7.57                   13.33                 11.1                  0.0                240            
7           TBDR-007    0                   30.67                56                  7.57                   13.64                 11.58                 0.0                240            
7           TBDR-008    0                   30.47                56                  7.57                   13.36                 10.98                 0.0                240            
7           TBDR-009    0                   30.29                56                  7.57                   16.79                 14.03                 0.0                240            
8           TBDR-000    0                   39.23                56                  10.32                  13.71                 11.37                 0.0                227            
8           TBDR-001    0                   39.2                 56                  10.32                  12.97                 11.16                 0.0                227            
8           TBDR-002    0                   39.2                 56                  10.32                  13.07                 11.04                 0.0                227            
8           TBDR-003    0                   39.2                 56                  10.32                  12.95                 11.03                 0.0                227            
8           TBDR-004    0                   39.19                56                  10.32                  12.8                  10.76                 0.0                227            
8           TBDR-005    0                   39.14                56                  10.32                  12.58                 10.78                 0.0                227            
8           TBDR-006    0                   39.13                56                  10.32                  12.66                 11.06                 0.0                227            
8           TBDR-007    0                   39.1                 56                  10.32                  12.5                  11.0                  0.0                227            
8           TBDR-008    0                   39.05                56                  10.32                  12.71                 10.51                 0.0                227            
8           TBDR-009    0                   38.84                56                  10.32                  12.64                 10.71                 0.0                227            
9           TBDR-000    0                   41.52                56                  0.0                    11.8                  10.52                 0.0                149            
9           TBDR-001    0                   40.06                56                  0.0                    11.39                 10.43                 0.0                149            
9           TBDR-002    0                   39.95                56                  0.0                    11.87                 10.78                 0.0                149            
9           TBDR-003    0                   39.84                56                  0.0                    10.51                 10.01                 0.0                149            
9           TBDR-004    0                   38.68                56                  0.0                    11.01                 10.43                 0.0                149            
9           TBDR-005    0                   38.67                56                  0.0                    10.92                 10.19                 0.0                149            
9           TBDR-006    0                   38.65                56                  0.0                    11.74                 10.75                 0.0                149            
9           TBDR-007    0                   38.6                 56                  0.0                    11.64                 10.95                 0.0                149            
9           TBDR-008    16                  38.57                56                  0.0                    11.62                 10.87                 0.0                149            
9           TBDR-009    16                  38.57                56                  0.0                    11.63                 10.91                 0.0                149            
10          TBDR-000    0                   25.87                56                  15.87                  13.35                 11.49                 0.0                92             
10          TBDR-001    0                   25.3                 56                  18.99                  14.13                 11.73                 0.0                92             
10          TBDR-002    0                   25.06                56                  18.99                  13.69                 12.03                 0.0                92             
10          TBDR-003    2                   24.99                56                  18.99                  14.22                 11.71                 0.0                92             
