Vehicle     Methods     min     mean     max     Pcll     Enc(us)     Dec(us)     error(%)     Mem(KB)     
0           Baseline    0       47.0     56      0.0      4.02        14.65       0.0          28          
0           CASmap      0       46.0     61      1.94     121.01      122.59      0.0          28          
0           SFDC        0       52.78    64      1.81     34.13       88.98       0.0          39          
0           TBDR        20      44.54    56      0.0      35.54       34.13       0.0          104         
0           ITBDR       21      44.61    56      0.0      36.23       42.91       0.0          82          
0           TDBDR       0       47.7     56      0.0      41.62       38.53       0.0          95          
0           ITDBDR      0       47.54    56      0.0      41.39       48.07       0.0          86          
0           VDCTBDR     18      47.1     56      0.0      46.28       41.34       0.0          217         
0           IVDCTBDR    19      47.08    56      0.0      58.75       52.61       0.0          180         
1           Baseline    0       43.93    56      0.21     5.73        22.36       0.0          16          
1           CASmap      0       41.7     61      4.59     134.7       130.97      0.0          16          
1           SFDC        0       43.74    64      3.97     31.86       86.35       0.0          25          
1           TBDR        6       33.96    56      0.0      40.91       32.79       0.0          117         
1           ITBDR       6       34.42    56      0.0      36.08       37.65       0.0          51          
1           TDBDR       0       39.78    56      0.0      40.33       37.22       0.0          86          
1           ITDBDR      0       39.89    56      0.0      40.49       47.48       0.0          54          
1           VDCTBDR     8       39.16    56      0.0      49.5        42.61       0.0          296         
1           IVDCTBDR    7       39.12    56      0.03     54.78       47.51       0.0          143         
2           Baseline    0       45.3     56      0.1      6.83        22.43       0.0          49          
2           CASmap      0       43.09    61      0.83     134.04      129.31      0.0          49          
2           SFDC        0       59.64    64      0.05     33.08       86.85       0.0          69          
2           TBDR        20      50.88    56      0.0      32.83       31.46       0.0          137         
2           ITBDR       23      50.83    56      0.0      32.53       37.84       0.0          126         
2           TDBDR       0       51.88    56      0.06     37.18       36.38       0.0          147         
2           ITDBDR      0       51.83    56      0.06     39.84       47.1        0.0          137         
2           VDCTBDR     16      50.14    56      0.0      41.82       40.35       0.0          296         
2           IVDCTBDR    16      50.14    56      0.0      43.82       39.0        0.0          270         
3           Baseline    0       44.93    56      0.61     6.98        21.93       0.0          30          
3           CASmap      0       42.23    61      11.38    137.82      137.37      0.0          30          
3           SFDC        0       48.58    64      0.05     34.91       92.16       0.0          47          
3           TBDR        2       35.57    56      3.13     15.98       13.43       0.0          203         
3           ITBDR       6       36.46    56      0.0      36.98       40.9        0.0          89          
3           TDBDR       0       40.13    56      0.0      43.12       40.76       0.0          143         
3           ITDBDR      0       40.29    56      0.0      42.28       47.67       0.0          96          
3           VDCTBDR     7       40.15    56      0.0      51.66       44.21       0.0          477         
3           IVDCTBDR    5       40.02    56      0.0      47.92       41.58       0.0          239         
4           Baseline    0       38.28    56      8.61     7.62        21.95       0.0          50          
4           CASmap      0       33.56    61      19.5     148.75      144.03      0.0          50          
4           SFDC        0       46.18    64      9.54     32.56       83.41       0.0          71          
4           TBDR        0       36.49    56      11.82    41.99       35.23       0.0          270         
4           ITBDR       0       36.95    56      10.79    27.54       30.6        0.0          132         
4           TDBDR       0       39.63    56      0.42     52.96       47.11       0.0          218         
4           ITDBDR      0       40.19    56      0.0      43.07       48.35       0.0          145         
4           VDCTBDR     0       37.83    56      11.32    53.85       43.36       0.0          728         
4           IVDCTBDR    3       38.01    56      10.2     49.03       41.39       0.0          345         
5           Baseline    0       49.4     56      1.09     5.65        21.33       0.0          33          
5           CASmap      0       51.26    61      4.8      126.41      127.74      0.0          33          
5           SFDC        8       49.88    64      0.12     33.4        84.22       0.0          50          
5           TBDR        0       38.81    56      4.27     38.28       34.01       0.0          164         
5           ITBDR       2       38.79    56      3.56     35.41       38.22       0.0          94          
5           TDBDR       0       43.32    56      0.02     42.41       38.73       0.0          132         
5           ITDBDR      0       42.85    56      0.02     41.39       46.75       0.0          101         
5           VDCTBDR     0       43.01    56      0.04     48.08       41.99       0.0          383         
5           IVDCTBDR    0       42.89    56      0.03     41.71       36.94       0.0          231         
6           Baseline    0       42.94    56      0.27     5.44        19.02       0.0          18          
6           CASmap      0       39.81    61      6.12     128.51      129.32      0.0          18          
6           SFDC        0       45.42    64      1.05     32.0        84.52       0.0          27          
6           TBDR        11      36.56    56      0.0      42.37       35.42       0.0          111         
6           ITBDR       14      37.19    56      0.0      37.82       38.9        0.0          53          
6           TDBDR       0       41.43    56      0.02     43.07       38.95       0.0          84          
6           ITDBDR      0       41.65    56      0.02     41.96       46.84       0.0          57          
6           VDCTBDR     8       41.11    56      0.0      50.45       41.75       0.0          272         
6           IVDCTBDR    8       41.09    56      0.01     47.32       41.72       0.0          139         
7           Baseline    0       38.42    56      4.84     7.42        21.98       0.0          49          
7           CASmap      0       38.13    61      8.97     138.89      137.06      0.0          49          
7           SFDC        6       44.32    64      1.0      31.64       82.14       0.0          64          
7           TBDR        0       31.17    56      7.57     36.85       30.55       0.0          240         
7           ITBDR       0       31.6     56      3.78     16.78       17.89       0.0          133         
7           TDBDR       0       37.2     56      0.0      14.16       12.97       0.0          202         
7           ITDBDR      0       37.28    56      0.0      14.18       16.11       0.0          137         
7           VDCTBDR     0       36.34    56      0.01     16.69       14.07       0.0          667         
7           IVDCTBDR    0       36.52    56      0.06     15.24       13.51       0.0          347         
8           Baseline    0       40.71    56      5.44     2.24        7.02        0.0          46          
8           CASmap      0       36.91    61      13.93    44.52       43.21       0.0          46          
8           SFDC        0       49.38    64      8.66     10.14       26.56       0.0          65          
8           TBDR        0       39.19    56      10.32    12.9        10.82       0.0          227         
8           ITBDR       0       39.75    56      10.32    11.5        12.55       0.0          122         
8           TDBDR       0       41.18    56      0.0      13.32       12.38       0.0          192         
8           ITDBDR      0       41.76    56      0.0      13.3        15.62       0.0          134         
8           VDCTBDR     0       40.0     56      9.84     16.46       13.46       0.0          609         
8           IVDCTBDR    0       40.29    56      8.91     15.14       13.49       0.0          309         
9           Baseline    0       49.96    56      0.91     1.77        7.03        0.0          39          
9           CASmap      0       52.73    61      1.15     39.98       40.54       0.0          39          
9           SFDC        0       50.1     64      0.84     12.39       30.97       0.0          68          
9           TBDR        0       38.68    56      0.0      11.16       10.23       0.0          149         
9           ITBDR       0       38.67    56      0.0      10.84       11.76       0.0          107         
9           TDBDR       0       40.36    56      0.0      12.84       12.01       0.0          142         
9           ITDBDR      0       39.95    56      0.0      12.88       14.79       0.0          116         
9           VDCTBDR     0       41.48    56      0.0      14.82       13.27       0.0          361         
9           IVDCTBDR    0       41.6     56      0.0      14.6        12.92       0.0          259         
10          Baseline    0       48.94    56      0.47     1.88        7.09        0.0          14          
10          CASmap      0       47.52    61      4.2      42.08       41.73       0.0          14          
10          SFDC        0       37.02    64      4.99     10.83       28.58       0.0          23          
10          TBDR        5       24.5     56      18.99    13.23       11.29       0.0          92          
10          ITBDR       4       24.36    56      18.99    11.33       12.02       0.0          42          
10          TDBDR       0       27.72    56      3.56     13.61       12.84       0.0          74          
10          ITDBDR      0       27.75    56      0.01     13.71       16.23       0.0          49          
10          VDCTBDR     1       28.67    56      1.24     17.04       14.52       0.0          243         
10          IVDCTBDR    0       28.3     56      4.98     16.08       14.11       0.0          124         
11          Baseline    0       50.58    56      0.0      1.72        7.17        0.0          14          
11          CASmap      0       52.18    61      0.91     39.88       40.15       0.0          14          
11          SFDC        0       51.02    64      1.65     10.23       27.26       0.0          17          
11          TBDR        0       37.97    56      0.0      11.69       10.4        0.0          82          
11          ITBDR       0       38.24    56      0.0      10.78       11.87       0.0          41          
11          TDBDR       0       42.88    56      0.0      12.97       12.29       0.0          54          
11          ITDBDR      0       42.33    56      0.0      13.39       15.25       0.0          47          
11          VDCTBDR     0       42.83    56      0.0      14.61       13.25       0.0          150         
11          IVDCTBDR    0       42.56    56      0.0      13.83       12.17       0.0          108         
12          Baseline    0       39.97    56      3.72     1.92        6.38        0.0          43          
12          CASmap      0       35.63    61      14.09    43.11       40.01       0.0          43          
12          SFDC        0       45.96    64      0.32     10.59       26.58       0.0          61          
12          TBDR        0       37.01    56      2.1      12.64       11.17       0.0          193         
12          ITBDR       5       37.44    56      0.01     11.98       15.62       0.0          118         
12          TDBDR       0       42.78    56      0.04     10.95       10.0        0.0          152         
12          ITDBDR      0       42.42    56      0.04     13.55       14.76       0.0          127         
12          VDCTBDR     7       41.63    56      0.0      16.47       14.76       0.0          424         
12          IVDCTBDR    5       41.02    56      0.02     17.0        14.12       0.0          284         
13          Baseline    0       54.68    56      0.59     1.42        7.21        0.0          41          
13          CASmap      0       59.08    61      0.62     34.72       33.27       0.0          41          
13          SFDC        0       50.27    64      2.24     10.79       23.07       0.0          78          
13          TBDR        0       48.4     56      0.01     8.86        8.75        0.0          111         
13          ITBDR       0       48.4     56      0.01     9.08        9.69        0.0          109         
