Vehicle     Methods     min     mean     max     Pcll     Enc(us)     Dec(us)     error(%)     Mem(KB)     
13          TDBDR       0       47.52    56      0.15     10.77       9.15        0.0          121         
13          ITDBDR      0       47.51    56      0.15     11.13       13.02       0.0          120         
13          VDCTBDR     0       48.49    56      0.02     14.45       12.99       0.0          236         
13          IVDCTBDR    0       48.49    56      0.02     14.61       12.28       0.0          234         
14          Baseline    0       46.97    56      6.93     1.93        7.16        0.0          29          
14          CASmap      0       48.27    61      6.05     41.81       42.2        0.0          29          
14          SFDC        6       55.46    64      1.54     10.69       27.43       0.0          43          
14          TBDR        20      49.27    56      0.0      9.99        9.32        0.0          102         
14          ITBDR       20      49.61    56      0.0      10.67       12.41       0.0          81          
14          TDBDR       0       52.28    56      0.01     11.04       10.48       0.0          96          
14          ITDBDR      0       52.29    56      0.01     12.37       14.06       0.0          89          
14          VDCTBDR     18      52.21    56      0.0      12.71       11.23       0.0          207         
14          IVDCTBDR    19      52.25    56      0.0      14.11       12.65       0.0          176         
15          Baseline    0       44.69    56      2.52     1.98        7.02        0.0          64          
15          CASmap      0       43.5     61      7.71     54.28       53.25       0.0          64          
15          SFDC        0       46.44    64      1.39     10.9        27.87       0.0          96          
15          TBDR        0       32.82    56      10.45    13.27       11.57       0.0          334         
15          ITBDR       0       33.18    56      10.45    11.83       12.61       0.0          184         
15          TDBDR       0       36.35    56      0.35     14.14       13.47       0.0          275         
15          ITDBDR      0       36.23    56      4.18     13.89       15.78       0.0          206         
15          VDCTBDR     0       36.26    56      4.21     16.75       14.36       0.0          842         
15          IVDCTBDR    0       36.06    56      1.72     15.73       13.66       0.0          506         
16          Baseline    0       39.96    56      12.12    2.3         7.01        0.0          31          
16          CASmap      0       36.6     61      15.24    52.32       50.96       0.0          31          
16          SFDC        0       44.26    64      6.21     10.14       27.19       0.0          44          
16          TBDR        0       30.16    56      16.07    13.51       10.58       0.0          185         
16          ITBDR       6       31.63    56      16.07    11.12       11.82       0.0          89          
16          TDBDR       0       35.95    56      0.0      13.75       12.82       0.0          138         
16          ITDBDR      0       36.48    56      0.0      13.45       15.29       0.0          97          
16          VDCTBDR     0       34.12    56      15.38    17.29       14.27       0.0          458         
16          IVDCTBDR    0       34.11    56      10.15    15.4        13.34       0.0          230         
17          Baseline    0       42.16    56      6.01     2.09        7.13        0.0          37          
17          CASmap      0       37.78    61      10.43    45.67       44.35       0.0          37          
17          SFDC        0       44.11    64      3.92     10.23       27.28       0.0          53          
17          TBDR        0       29.8     56      10.5     13.33       10.73       0.0          232         
17          ITBDR       0       31.17    56      10.23    11.26       11.78       0.0          102         
17          TDBDR       0       35.33    56      0.01     13.48       12.41       0.0          164         
17          ITDBDR      0       35.68    56      0.01     13.53       15.57       0.0          114         
17          VDCTBDR     0       34.38    56      2.51     17.2        14.22       0.0          559         
17          IVDCTBDR    0       34.35    56      2.51     15.32       13.52       0.0          277         
18          Baseline    0       39.53    56      7.54     2.29        6.95        0.0          59          
18          CASmap      0       35.83    61      11.72    45.58       45.23       0.0          59          
18          SFDC        0       44.18    64      11.71    10.49       27.92       0.0          84          
18          TBDR        0       36.73    56      8.18     12.97       10.65       0.0          335         
18          ITBDR       0       37.17    56      7.92     11.3        12.32       0.0          168         
18          TDBDR       0       41.76    56      0.02     13.36       12.39       0.0          249         
18          ITDBDR      0       41.77    56      0.01     13.69       15.36       0.0          188         
18          VDCTBDR     0       40.15    56      1.22     15.9        13.7        0.0          782         
18          IVDCTBDR    0       39.94    56      2.07     15.14       13.23       0.0          448         
19          Baseline    0       42.64    56      0.36     2.19        7.15        0.0          33          
19          CASmap      0       40.82    61      4.23     44.9        43.47       0.0          33          
19          SFDC        0       42.35    64      5.95     10.01       26.63       0.0          47          
19          TBDR        5       33.19    56      0.0      12.93       11.02       0.0          183         
19          ITBDR       4       33.97    56      0.0      11.73       12.28       0.0          95          
19          TDBDR       0       39.19    56      0.01     13.79       12.39       0.0          144         
19          ITDBDR      0       39.33    56      0.01     13.52       15.59       0.0          101         
19          VDCTBDR     0       38.66    56      0.0      16.14       14.11       0.0          461         
19          IVDCTBDR    0       38.49    56      0.0      14.95       13.48       0.0          239         
