vehicle     methods     min_compression_level     mean_compression_level     max_compression_level     low_one_byte_ratio     average_encoding_time(us)     average_decoding_time(us)     memory_footprint(byte)     
7           SFDC-006    0                         44.77                      64                        6.0619                 11.01                         30.34                         45524                      
7           SFDC-007    0                         44.85                      64                        6.0619                 11.78                         31.94                         45652                      
7           SFDC-008    8                         44.87                      64                        6.0538                 11.5                          30.81                         45584                      
7           SFDC-009    8                         44.89                      64                        6.0538                 13.24                         35.82                         45908                      
8           SFDC-000    0                         34.77                      64                        26.5032                31.14                         86.39                         53352                      
8           SFDC-001    0                         39.94                      64                        14.2843                31.81                         87.36                         53552                      
8           SFDC-002    0                         40.86                      64                        10.5901                32.13                         88.32                         53812                      
8           SFDC-003    0                         43.67                      64                        5.0745                 32.7                          88.23                         53748                      
8           SFDC-004    0                         44.26                      64                        3.9197                 32.82                         87.98                         53816                      
8           SFDC-005    0                         44.51                      64                        3.7135                 32.73                         88.39                         53816                      
8           SFDC-006    0                         44.62                      64                        3.2287                 32.87                         88.21                         53944                      
8           SFDC-007    8                         44.82                      64                        3.1722                 33.23                         88.74                         53912                      
8           SFDC-008    8                         44.93                      64                        3.1722                 33.12                         88.29                         53848                      
8           SFDC-009    8                         44.81                      64                        3.1722                 32.85                         87.63                         53688                      
9           SFDC-000    0                         43.42                      64                        11.7815                33.56                         88.64                         87136                      
9           SFDC-001    0                         43.76                      64                        11.7945                34.04                         89.08                         87076                      
9           SFDC-002    0                         43.93                      64                        11.8007                33.47                         88.16                         87396                      
9           SFDC-003    0                         44.07                      64                        11.7027                33.54                         89.88                         87492                      
9           SFDC-004    0                         44.18                      64                        11.7056                12.92                         34.27                         87780                      
9           SFDC-005    0                         44.59                      64                        10.4008                30.76                         79.4                          87428                      
9           SFDC-006    0                         46.02                      64                        8.1656                 32.6                          87.42                         87492                      
9           SFDC-007    0                         45.96                      64                        8.084                  16.39                         43.3                          87424                      
9           SFDC-008    0                         45.86                      64                        7.8628                 30.35                         82.94                         87552                      
9           SFDC-009    0                         46.34                      64                        6.8473                 38.02                         102.52                        87044                      
10          SFDC-000    0                         35.67                      64                        18.6339                36.04                         98.78                         47800                      
10          SFDC-001    0                         36.7                       64                        18.6339                37.41                         103.31                        47600                      
10          SFDC-002    0                         42.22                      64                        7.2365                 37.85                         102.29                        47572                      
10          SFDC-003    0                         43.12                      64                        5.9576                 41.47                         115.62                        47888                      
10          SFDC-004    0                         44.38                      64                        1.7821                 41.31                         110.77                        47600                      
10          SFDC-005    0                         44.68                      64                        1.0049                 30.24                         81.29                         47828                      
10          SFDC-006    0                         45.23                      64                        0.9363                 27.74                         73.62                         47600                      
10          SFDC-007    0                         45.18                      64                        0.9363                 13.22                         35.01                         47828                      
10          SFDC-008    2                         45.55                      64                        0.37                   12.48                         33.26                         47572                      
10          SFDC-009    2                         45.59                      64                        0.37                   12.56                         33.56                         47540                      
