Vehicle     Methods     min     mean     max     Pcll     Enc(us)     Dec(us)     error(%)     Mem(KB)     
9           IVDCTBDR    0       41.2     56      0.0      59.28       69.37       0.0          311         
10          Baseline    0       48.94    56      0.47     5.33        21.45       0.0          14          
10          CASmap      0       47.52    61      4.2      127.74      126.79      0.0          14          
10          SFDC        0       37.02    64      4.99     32.99       86.45       0.0          23          
10          TBDR        5       24.5     56      18.99    47.8        36.58       0.0          92          
10          ITBDR       4       24.36    56      18.99    35.15       36.31       0.0          42          
10          TDBDR       0       27.72    56      3.56     43.8        40.29       0.0          74          
10          ITDBDR      0       27.75    56      0.01     43.03       49.26       0.0          49          
10          VDCTBDR     5       29.38    56      0.0      54.18       47.16       0.0          197         
10          IVDCTBDR    4       29.02    56      0.0      63.41       72.54       0.0          126         
11          Baseline    0       50.58    56      0.0      5.24        21.49       0.0          14          
11          CASmap      0       52.18    61      0.91     122.16      121.02      0.0          14          
11          SFDC        0       51.02    64      1.65     31.62       82.94       0.0          17          
11          TBDR        0       37.97    56      0.0      41.35       32.49       0.0          82          
11          ITBDR       0       38.24    56      0.0      32.66       35.83       0.0          41          
11          TDBDR       0       42.88    56      0.0      38.89       36.51       0.0          54          
11          ITDBDR      0       42.33    56      0.0      39.62       45.55       0.0          47          
11          VDCTBDR     0       43.42    56      0.0      47.01       43.62       0.0          170         
11          IVDCTBDR    0       42.87    56      0.0      59.31       70.11       0.0          124         
12          Baseline    0       39.97    56      3.72     6.98        20.91       0.0          43          
12          CASmap      0       35.63    61      14.09    140.06      136.02      0.0          43          
12          SFDC        0       45.96    64      0.32     32.92       87.41       0.0          61          
12          TBDR        0       37.01    56      2.1      43.43       33.32       0.0          193         
12          ITBDR       5       37.44    56      0.01     34.7        37.87       0.0          118         
12          TDBDR       0       42.78    56      0.04     41.59       38.54       0.0          152         
12          ITDBDR      0       42.42    56      0.04     42.2        48.3        0.0          127         
12          VDCTBDR     8       43.17    56      0.0      50.77       45.16       0.0          439         
12          IVDCTBDR    12      42.84    56      0.0      60.55       72.79       0.0          342         
13          Baseline    0       54.68    56      0.59     4.55        21.47       0.0          41          
13          CASmap      0       59.08    61      0.62     111.16      115.04      0.0          41          
13          SFDC        0       50.27    64      2.24     39.71       89.22       0.0          78          
13          TBDR        0       48.4     56      0.01     36.45       33.34       0.0          111         
13          ITBDR       0       48.4     56      0.01     31.47       37.33       0.0          109         
13          TDBDR       0       47.52    56      0.15     37.85       37.45       0.0          121         
13          ITDBDR      0       47.51    56      0.15     38.06       45.46       0.0          120         
13          VDCTBDR     0       48.62    56      0.02     46.68       42.31       0.0          325         
13          IVDCTBDR    0       48.62    56      0.02     57.89       68.62       0.0          323         
14          Baseline    0       46.97    56      6.93     5.68        20.9        0.0          29          
14          CASmap      0       48.27    61      6.05     128.01      126.08      0.0          29          
14          SFDC        6       55.46    64      1.54     32.08       81.83       0.0          43          
14          TBDR        20      49.27    56      0.0      37.14       30.96       0.0          102         
14          ITBDR       20      49.61    56      0.0      31.37       36.48       0.0          81          
14          TDBDR       0       52.28    56      0.01     36.87       34.68       0.0          96          
14          ITDBDR      0       52.29    56      0.01     37.93       42.84       0.0          89          
14          VDCTBDR     22      52.67    56      0.0      44.18       40.05       0.0          271         
14          IVDCTBDR    22      52.62    56      0.0      55.69       66.72       0.0          246         
15          Baseline    0       44.69    56      2.52     6.11        21.4        0.0          64          
15          CASmap      0       43.5     61      7.71     133.36      130.53      0.0          64          
15          SFDC        0       46.44    64      1.39     31.26       81.17       0.0          96          
15          TBDR        0       32.82    56      10.45    45.35       35.22       0.0          334         
15          ITBDR       0       33.18    56      10.45    35.5        38.51       0.0          184         
15          TDBDR       0       36.35    56      0.35     42.22       39.83       0.0          275         
15          ITDBDR      0       36.23    56      4.18     42.66       48.95       0.0          206         
15          VDCTBDR     0       37.2     56      0.35     51.54       47.02       0.0          771         
15          IVDCTBDR    0       37.08    56      4.18     42.49       48.83       0.0          552         
16          Baseline    0       39.96    56      12.12    6.32        19.02       0.0          31          
16          CASmap      0       36.6     61      15.24    74.04       71.7        0.0          31          
16          SFDC        0       44.26    64      6.21     10.6        27.71       0.0          44          
16          TBDR        0       30.16    56      16.07    16.52       11.74       0.0          185         
16          ITBDR       6       31.63    56      16.07    11.67       13.29       0.0          89          
16          TDBDR       0       35.95    56      0.0      15.0        13.35       0.0          138         
16          ITDBDR      0       36.48    56      0.0      14.68       16.76       0.0          97          
16          VDCTBDR     0       36.26    56      0.0      17.88       15.63       0.0          399         
16          IVDCTBDR    6       36.79    56      0.0      21.55       24.91       0.0          264         
17          Baseline    0       42.16    56      6.01     2.39        8.05        0.0          37          
17          CASmap      0       37.78    61      10.43    46.05       42.98       0.0          37          
17          SFDC        0       44.11    64      3.92     11.11       29.53       0.0          53          
