Vehicle     Methods     min     mean     max     Pcll     Enc(us)     Dec(us)     error(%)     Mem(KB)     
9           IVDCTBDR    0       41.2     56      0.0      64.61       72.0        0.0          217         
10          Baseline    0       48.94    56      0.47     7.24        24.78       0.0          14          
10          CASmap      0       47.52    61      4.2      134.7       136.72      0.0          14          
10          SFDC        0       37.02    64      4.99     32.92       83.41       0.0          23          
10          TBDR        5       24.5     56      18.99    52.17       41.96       0.0          92          
10          ITBDR       4       24.36    56      18.99    38.71       40.29       0.0          42          
10          TDBDR       0       27.72    56      3.56     47.26       47.73       0.0          74          
10          ITDBDR      0       27.75    56      0.01     44.5        52.26       0.0          49          
10          VDCTBDR     5       29.38    56      0.0      51.57       49.12       0.0          158         
10          IVDCTBDR    4       29.02    56      0.0      68.47       74.53       0.0          87          
11          Baseline    0       50.58    56      0.0      6.91        25.32       0.0          14          
11          CASmap      0       52.18    61      0.91     129.96      132.33      0.0          14          
11          SFDC        0       51.02    64      1.65     31.78       79.63       0.0          17          
11          TBDR        0       37.97    56      0.0      46.76       38.49       0.0          82          
11          ITBDR       0       38.24    56      0.0      36.1        40.2        0.0          41          
11          TDBDR       0       42.88    56      0.0      42.64       44.08       0.0          54          
11          ITDBDR      0       42.33    56      0.0      41.89       50.67       0.0          47          
11          VDCTBDR     0       43.42    56      0.0      44.73       45.31       0.0          131         
11          IVDCTBDR    0       42.87    56      0.0      64.6        72.81       0.0          85          
12          Baseline    0       39.97    56      3.72     8.85        24.67       0.0          43          
12          CASmap      0       35.63    61      14.09    146.04      145.73      0.0          43          
12          SFDC        0       45.96    64      0.32     32.95       83.14       0.0          61          
12          TBDR        0       37.01    56      2.1      49.76       39.13       0.0          193         
12          ITBDR       5       37.44    56      0.01     37.98       41.95       0.0          118         
12          TDBDR       0       42.78    56      0.04     45.47       44.52       0.0          152         
12          ITDBDR      0       42.42    56      0.04     43.19       51.02       0.0          127         
12          VDCTBDR     8       43.17    56      0.0      48.2        46.2        0.0          337         
12          IVDCTBDR    12      42.84    56      0.0      66.08       73.79       0.0          240         
13          Baseline    0       54.68    56      0.59     6.32        24.57       0.0          41          
