timestamp;id;dlc;data
2020-11-23 08:03:31.985194;0xcf003e6;8;255;255;255;255;255;255;255;255
2020-11-23 08:03:31.986173;0x10ff80e6;8;255;255;255;47;255;255;255;255
2020-11-23 08:03:31.986899;0x15ff59e6;8;0;0;0;0;0;0;0;0
2020-11-23 08:03:31.986988;0x18f006e6;8;255;255;255;255;255;255;255;255
2020-11-23 08:03:31.987066;0x18f009e6;8;255;255;255;255;255;255;255;255
2020-11-23 08:03:31.987652;0x18fd7ce6;8;255;131;255;255;255;255;255;255
2020-11-23 08:03:31.988033;0x18fdc4e6;8;255;255;255;255;255;255;255;255
2020-11-23 08:03:31.988444;0x1cff9053;4;174;31;0;128
2020-11-23 08:03:31.988986;0x1cff80e6;1;230
2020-11-23 08:03:31.989881;0xcf002e6;8;255;255;255;255;255;255;255;255
2020-11-23 08:03:31.990462;0xcf004e6;8;255;255;255;255;255;255;255;255
2020-11-23 08:03:31.991042;0x18fd09e6;8;255;255;255;255;255;255;255;255
2020-11-23 08:03:31.991625;0x18fec4c8;8;255;255;255;255;255;255;255;255
2020-11-23 08:03:31.992211;0x18ff1fe6;8;0;240;255;255;255;255;255;255
2020-11-23 08:03:31.994774;0xcfe5ae6;8;255;255;255;255;255;255;255;255
2020-11-23 08:03:31.995347;0x10ff80e6;8;255;255;255;47;255;255;255;255
2020-11-23 08:03:31.995985;0x18f009e6;8;255;255;255;255;255;255;255;255
2020-11-23 08:03:31.996568;0x18fec4c0;8;255;255;255;255;255;255;255;255
2020-11-23 08:03:31.999726;0x8fe6ee6;8;255;255;255;255;255;255;255;255
2020-11-23 08:03:32.000315;0xcf002e6;8;255;255;255;255;255;255;255;255
2020-11-23 08:03:32.000890;0x18f005e6;8;255;255;255;255;0;0;0;0
2020-11-23 08:03:32.001476;0x18fec4b8;8;255;255;255;255;255;255;255;255
2020-11-23 08:03:32.004838;0x10ff80e6;8;255;255;255;47;255;255;255;255
2020-11-23 08:03:32.005425;0x18f009e6;8;255;255;255;255;255;255;255;255
2020-11-23 08:03:32.006004;0x18fe59e6;8;255;255;255;255;255;255;255;255
2020-11-23 08:03:32.006542;0x18fec4b0;8;255;255;255;255;255;255;255;255
2020-11-23 08:03:32.009741;0xcf002e6;8;255;255;255;255;255;255;255;255
2020-11-23 08:03:32.010328;0xcf004e6;8;255;255;255;255;255;255;255;255
2020-11-23 08:03:32.010908;0xcfe6ce6;8;255;255;255;255;255;255;255;255
2020-11-23 08:03:32.011480;0x15ff5ce6;8;252;207;255;255;255;255;255;255
2020-11-23 08:03:32.012062;0x18fe40f6;8;255;255;255;255;207;255;255;255
2020-11-23 08:03:32.012603;0x18fec4a8;8;255;255;255;255;255;255;255;255
2020-11-23 08:03:32.014853;0x10ff80e6;8;255;255;255;47;255;255;255;255
2020-11-23 08:03:32.015433;0x15ff55e6;8;255;255;255;255;255;255;255;255
2020-11-23 08:03:32.016027;0x18f009e6;8;255;255;255;255;255;255;255;255
2020-11-23 08:03:32.016556;0x18fe5cc8;8;255;255;255;255;0;255;255;255
2020-11-23 08:03:32.017172;0x18fef1e6;8;255;255;255;255;255;255;255;255
2020-11-23 08:03:32.019763;0x8fe6ee6;8;255;255;255;255;255;255;255;255
2020-11-23 08:03:32.020323;0xcf002e6;8;255;255;255;255;255;255;255;255
2020-11-23 08:03:32.020909;0x18fe5cc0;8;255;255;255;255;0;255;255;255
2020-11-23 08:03:32.021488;0x18fef2e6;8;255;255;255;255;255;255;255;255
2020-11-23 08:03:32.024634;0x10ff80e6;8;255;255;255;47;255;255;255;255
2020-11-23 08:03:32.025229;0x18f009e6;8;255;255;255;255;255;255;255;255
2020-11-23 08:03:32.025808;0x18fd15e6;8;255;255;255;255;255;255;255;255
2020-11-23 08:03:32.026384;0x18fe5cb8;8;255;255;255;255;0;255;255;255
2020-11-23 08:03:32.029714;0xcf002e6;8;255;255;255;255;255;255;255;255
2020-11-23 08:03:32.030291;0xcf004e6;8;255;255;255;255;255;255;255;255
2020-11-23 08:03:32.030877;0x18fe5cb0;8;255;255;255;255;0;255;255;255
2020-11-23 08:03:32.034697;0xcf003e6;8;255;255;255;255;255;255;255;255
2020-11-23 08:03:32.035276;0x10ff80e6;8;255;255;255;47;255;255;255;255
2020-11-23 08:03:32.035868;0x15ff58e6;8;255;159;255;255;255;255;255;255
2020-11-23 08:03:32.036441;0x18f001e6;8;255;255;255;255;255;255;255;255
2020-11-23 08:03:32.037023;0x18f009e6;8;255;255;255;255;255;255;255;255
2020-11-23 08:03:32.037568;0x18fe5ca8;8;255;255;255;255;0;255;255;255
2020-11-23 08:03:32.038142;0x18ff15e6;8;255;255;255;255;255;255;255;255
2020-11-23 08:03:32.039838;0x8fe6ee6;8;255;255;255;255;255;255;255;255
2020-11-23 08:03:32.040385;0xcf002e6;8;255;255;255;255;255;255;255;255
2020-11-23 08:03:32.040955;0x18fec1e6;8;255;255;255;255;45;24;20;0
2020-11-23 08:03:32.044866;0x10ff80e6;8;255;255;255;47;255;255;255;255
